"Book","Top_Terms"
"The Godfather","godfather, crime, collective, consciousnesspenguincom, corleones, etched, godfather—, indelibly, phenomenonalmost, pitfalls"
"The Scarlet Letter","scarlet, letter, chillingworthwith, dimmesdale, hester, prynne, unending, hawthorne, hawthornes, humanitys"
"In Cold Blood","capote, killers, amoral, apparent, blasts, clutter, generates, hickcock, holcomb, journalistic"
"Fight Club","afterhours, boxing, club’s, durden, exposes, generation’s, lackluster, bars, gloriously, matches"
"The Five People You Meet in Heaven","connections, heaven, afterlife, eddies, explained, rides, tuesdays, uninspired, cart, morrie"
"Hush, Hush","patch, nora, fallen, feelfor, judgmentbut, loveromance, oatha, greys, noras, vee"
"The Cat in the Hat","hat, cat, abnormally, clean, courteous, illiteracy, pallid, readbook, unnaturally, wrecking"
"American Gods","breakscary, numbly, therethis, wednesday, america, proportions, refugee, whilst, preternatural, unsettling"
"The Count of Monte Cristo","treasure, buss’s, cristo, dumas’, serialized, srobin, unearth, wrongful, dantes, dumas’s"
"Lonesome Dove","dove, lonesome, americajourney, mcmurtry’s, prize—, tetralogy, weep, larry, authentic, grandest"
"Perfume: The Story of a Murderer","scent, sense, apprentices, brass, doorknobs, evermoreterrifying, freshcut, gift—, grenouille, grenouilles"
"Holes","lake, stanley, yelnats, digging, camp, holes, green, feet, curse, boys’"
"The Lion, the Witch and the Wardrobe","wardrobe, narnia, bravely, freelucy, narniathe, country, aslan, witchs, land, professors"
"Watchmen","graphic, assassinone, batman, campuses, dissected, gateway, perennial, sandman, stalked, superhero"
"It","derry, grownup, gain, withstand, stumbled, hauntingly, hometown, teenagers, welcome, familiar"
"The Last Olympian","titans, army, growswhile, momentous, rampaging, typhon, percys, advance, contain, kronoss"
"The Little House Collection","almanzo, laura, ingalls, wheat, house, prairie, wilder, mary, woods, farm"
"The Divine Comedy","divine, comedy, alighieri, ascent, beatriceincluding, belonged, bice, duties, examining, nuova"
"Peter Pan","pan, peter, barrie, hook, neverland, pirates, tinker, wendy, whisk, dastardly"
"All Quiet on the Western Front","experiencing, fall…, freshfaced, goaded, patriotism, schoolmaster, soldier’, troop, war’, ‘glorious"
"The Hobbit, or There and Back Again","hobbit, hole, anderson, comfortwritten, dry, hobbithole, oozy, sandy, spectacular, tolkien’s"
"The Compleat Works of Wllm Shkspr (abridged)","abridged, playtext, qualifications, reproduced, footnotes, americans, speaking, revised, shakespeare, rather"
"Love in the Time of Cholera","fermina, florentino, affairs—, ariza, daza, purposefully, reserves, wellborn, whiles, chooses"
"Shadow Kiss","rose, lissa, strigoi, dragomir, princess, friend, academys, brokenthen, foreverlissa, nearer"
"Insurgent","factions, tris, grief, chosen, haunting, choice, divergence, grappling, hallmark, heartbreaks"
"The Thorn Birds","cleary, drogheda, fiona, justine, paddy, meggie, meggies, ralph, moves, autocratic"
"A Walk to Remember","landon, jamie, beaufort, emotions, donned, dresses, glimmers, gossamer, hatswhen, homecoming"
"How the Grinch Stole Christmas!","grinch, whos, holiday, makeshift, whoville, christmas, santa, sleigh, singing, quite"
"The Ultimate Hitchhiker's Guide to the Galaxy","dent, arthur, guide, earth, save, universe, conspires, crewso, eatlife, everythingthe"
"Atonement","crime, briony, briony’s, cecilia, ian, incomplete, mcewan’s, precocious, proseon, provocation"
"The Importance of Being Earnest","ernests, gwendolen, wildes, jacks, ernest, wit, beloveds, cardew, cecily, curriculum"
"Eat, Pray, Love","pray, studied, worldly, gilbert, really, supposed, eat, art, pleasure, devotion"
"Their Eyes Were Watching God","janies, longlegged, crawford, janie, marriages, articulate, fair, feat, independent, roots"
"The Three Musketeers","musketeers, historical, famous, alexandre, aramis, athos, balls, beguilingly, bouts, cavaliers"
"The Wonderful Wizard of Oz","toto, dorothy, wicked, emerald, monkeys, munchkins, scarecrow, wishjust, cowardly, grant"
"Frostbite","strigoi, rose, lissas, lissa, winter, students, friend, making, alert, christianthen"
